"Source","Target","Sig_correlations"
"Bladder","Stomach_secretomics",12
"Bladder","Testis_secretomics",10
"Bladder","Thyroid_secretomics",2
"Bladder","Uterus_secretomics",0
"Bladder","Vagina_secretomics",0
"Bladder","Whole Blood_secretomics",1
"Brain - Amygdala","Adipose - Subcutaneous_secretomics",74
"Brain - Amygdala","Adipose - Visceral (Omentum)_secretomics",153
"Brain - Amygdala","Adrenal Gland_secretomics",2
"Brain - Amygdala","Artery - Aorta_secretomics",7
"Brain - Amygdala","Artery - Coronary_secretomics",6
"Brain - Amygdala","Artery - Tibial_secretomics",11
"Brain - Amygdala","Bladder_secretomics",0
"Brain - Amygdala","Brain - Anterior cingulate cortex (BA24)_secretomics",2679
"Brain - Amygdala","Brain - Caudate (basal ganglia)_secretomics",1936
"Brain - Amygdala","Brain - Cerebellar Hemisphere_secretomics",743
"Brain - Amygdala","Brain - Cerebellum_secretomics",277
"Brain - Amygdala","Brain - Cortex_secretomics",230
"Brain - Amygdala","Brain - Frontal Cortex (BA9)_secretomics",1025
"Brain - Amygdala","Brain - Hippocampus_secretomics",828
"Brain - Amygdala","Brain - Hypothalamus_secretomics",463
"Brain - Amygdala","Brain - Nucleus accumbens (basal ganglia)_secretomics",1250
"Brain - Amygdala","Brain - Putamen (basal ganglia)_secretomics",415
"Brain - Amygdala","Brain - Spinal cord (cervical c-1)_secretomics",56
"Brain - Amygdala","Brain - Substantia nigra_secretomics",154
"Brain - Amygdala","Breast - Mammary Tissue_secretomics",6
"Brain - Amygdala","Cells - Cultured fibroblasts_secretomics",1
"Brain - Amygdala","Cells - EBV-transformed lymphocytes_secretomics",27
"Brain - Amygdala","Cervix - Ectocervix_secretomics",0
"Brain - Amygdala","Cervix - Endocervix_secretomics",0
"Brain - Amygdala","Colon - Sigmoid_secretomics",4
"Brain - Amygdala","Colon - Transverse_secretomics",14
"Brain - Amygdala","Esophagus - Gastroesophageal Junction_secretomics",31
"Brain - Amygdala","Esophagus - Mucosa_secretomics",4
"Brain - Amygdala","Esophagus - Muscularis_secretomics",60
"Brain - Amygdala","Fallopian Tube_secretomics",0
"Brain - Amygdala","Heart - Atrial Appendage_secretomics",42
"Brain - Amygdala","Heart - Left Ventricle_secretomics",17
"Brain - Amygdala","Kidney - Cortex_secretomics",1
"Brain - Amygdala","Kidney - Medulla_secretomics",0
"Brain - Amygdala","Liver_secretomics",19
"Brain - Amygdala","Lung_secretomics",20
"Brain - Amygdala","Minor Salivary Gland_secretomics",0
"Brain - Amygdala","Muscle - Skeletal_secretomics",585
"Brain - Amygdala","Nerve - Tibial_secretomics",46
"Brain - Amygdala","Ovary_secretomics",6
"Brain - Amygdala","Pancreas_secretomics",7
"Brain - Amygdala","Pituitary_secretomics",84
"Brain - Amygdala","Prostate_secretomics",7
"Brain - Amygdala","Skin - Not Sun Exposed (Suprapubic)_secretomics",13
"Brain - Amygdala","Skin - Sun Exposed (Lower leg)_secretomics",89
"Brain - Amygdala","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Amygdala","Spleen_secretomics",0
"Brain - Amygdala","Stomach_secretomics",5
"Brain - Amygdala","Testis_secretomics",5
"Brain - Amygdala","Thyroid_secretomics",243
"Brain - Amygdala","Uterus_secretomics",3
"Brain - Amygdala","Vagina_secretomics",2
"Brain - Amygdala","Whole Blood_secretomics",195
"Brain - Anterior cingulate cortex (BA24)","Adipose - Subcutaneous_secretomics",196
"Brain - Anterior cingulate cortex (BA24)","Adipose - Visceral (Omentum)_secretomics",213
"Brain - Anterior cingulate cortex (BA24)","Adrenal Gland_secretomics",1
"Brain - Anterior cingulate cortex (BA24)","Artery - Aorta_secretomics",16
"Brain - Anterior cingulate cortex (BA24)","Artery - Coronary_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Artery - Tibial_secretomics",60
"Brain - Anterior cingulate cortex (BA24)","Bladder_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Brain - Amygdala_secretomics",3120
"Brain - Anterior cingulate cortex (BA24)","Brain - Caudate (basal ganglia)_secretomics",6389
"Brain - Anterior cingulate cortex (BA24)","Brain - Cerebellar Hemisphere_secretomics",1139
"Brain - Anterior cingulate cortex (BA24)","Brain - Cerebellum_secretomics",802
"Brain - Anterior cingulate cortex (BA24)","Brain - Cortex_secretomics",2624
"Brain - Anterior cingulate cortex (BA24)","Brain - Frontal Cortex (BA9)_secretomics",4448
"Brain - Anterior cingulate cortex (BA24)","Brain - Hippocampus_secretomics",834
"Brain - Anterior cingulate cortex (BA24)","Brain - Hypothalamus_secretomics",533
"Brain - Anterior cingulate cortex (BA24)","Brain - Nucleus accumbens (basal ganglia)_secretomics",2077
"Brain - Anterior cingulate cortex (BA24)","Brain - Putamen (basal ganglia)_secretomics",1418
"Brain - Anterior cingulate cortex (BA24)","Brain - Spinal cord (cervical c-1)_secretomics",75
"Brain - Anterior cingulate cortex (BA24)","Brain - Substantia nigra_secretomics",186
"Brain - Anterior cingulate cortex (BA24)","Breast - Mammary Tissue_secretomics",9
"Brain - Anterior cingulate cortex (BA24)","Cells - Cultured fibroblasts_secretomics",2
"Brain - Anterior cingulate cortex (BA24)","Cells - EBV-transformed lymphocytes_secretomics",36
"Brain - Anterior cingulate cortex (BA24)","Cervix - Ectocervix_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Cervix - Endocervix_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Colon - Sigmoid_secretomics",6
"Brain - Anterior cingulate cortex (BA24)","Colon - Transverse_secretomics",1
"Brain - Anterior cingulate cortex (BA24)","Esophagus - Gastroesophageal Junction_secretomics",20
"Brain - Anterior cingulate cortex (BA24)","Esophagus - Mucosa_secretomics",5
"Brain - Anterior cingulate cortex (BA24)","Esophagus - Muscularis_secretomics",165
"Brain - Anterior cingulate cortex (BA24)","Fallopian Tube_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Heart - Atrial Appendage_secretomics",85
"Brain - Anterior cingulate cortex (BA24)","Heart - Left Ventricle_secretomics",46
